연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치
335,3,신사,E/S,6,1802-054,B1(대)-지상,5번출구 상행
336,3,고속터미널,E/S,1,1802-099,B2(대)-B3(승),상행 2-3
337,3,고속터미널,E/S,2,1802-100,B3(승)-B2(대),상행 2-3
338,3,고속터미널,E/S,3,1802-101,B2(대)-B3(승),상행 4-3
339,3,고속터미널,E/S,4,1802-102,B3(승)-B2(대),상행 4-3
340,3,고속터미널,E/S,5,1802-103,B2(대)-B3(승),상행 7-2
341,3,고속터미널,E/S,6,1802-287,B3(승)-B2(대),상행 7-2
342,3,고속터미널,E/S,7,1802-288,B2(대)-B3(승),상행 9-2
343,3,고속터미널,E/S,8,1802-289,B3(승)-B2(대),상행 9-2
344,3,고속터미널,E/S,9,1802-290,B2(대)-B3(승),하행 2-3
345,3,고속터미널,E/S,10,1802-106,B3(승)-B2(대),하행 2-3
346,3,고속터미널,E/S,11,1802-291,B2(대)-B3(승),하행 4-3
347,3,고속터미널,E/S,12,1802-292,B3(승)-B2(대),하행 4-3
348,3,고속터미널,E/S,13,1802-107,B2(대)-B3(승),하행 7-2
349,3,고속터미널,E/S,14,1802-108,B3(승)-B2(대),하행 7-2
350,3,고속터미널,E/S,15,1802-104,B2(대)-B3(승),하행 9-2
351,3,고속터미널,E/S,16,1802-105,B3(승)-B2(대),하행 9-2
352,3,고속터미널,E/S,17,1809-326,B1(대)-B2(대),X-20 기둥 우측
353,3,고속터미널,E/S,18,1809-327,B2(대)-B1(대),X-20 기둥 우측
354,3,고속터미널,E/S,19,1802-109,B1(대)-B2(대),X-22 기둥 좌측
355,3,고속터미널,E/S,20,1802-110,B2(대)-B1(대),X-22 기둥 좌측
356,3,고속터미널,E/S,21,1809-328,B1(대)-B2(대),X-22 기둥 우측
357,3,고속터미널,E/S,22,1809-329,B2(대)-B1(대),X-22 기둥 우측
358,3,고속터미널,E/S,23,1809-338,B1(대)-B2(대),X-20 기둥 좌측
359,3,고속터미널,E/S,24,1802-111,B2(대)-B1(대),X-20 기둥 좌측
360,3,교대(3),E/S,1,1809-330,B2(대)-B3(승),하행 8-3
361,3,교대(3),E/S,2,1809-331,B3(승)-B2(대),상행 3-2
362,3,남부터미널,E/S,1,1802-115,지상-B1(대),6번출구 하행
363,3,남부터미널,E/S,2,1802-116,B1(대)-지상,6번출구 상행
364,3,양재,E/S,1,1802-398,지상-B1(대),5번출구 하행
365,3,양재,E/S,2,1802-399,계단(X-27)-지상,5번출구 상행
366,3,매봉,E/S,1,1807-907,지상-계단(X-11),4번출구 하행
367,3,매봉,E/S,2,1807-908,계단(X-11)-지상,4번출구 상행
368,3,매봉,E/S,3,1809-591,지상-B1(대),1번출구 하행
369,3,매봉,E/S,4,1809-592,B1(대)-지상,1번출구 상행
370,3,도곡,E/S,1,1807-846,B2(대)-B4(승),상행 4-1
371,3,도곡,E/S,2,1807-847,B4(승)-B2(대),상행 4-1
372,3,도곡,E/S,3,1807-913,B2(대)-B4(승),상행 7-4
373,3,도곡,E/S,4,1807-912,B4(승)-B2(대),상행 7-4
374,3,도곡,E/S,5,1807-915,B2(승)-B4(대),하행 4-1
375,3,도곡,E/S,6,1807-914,B4(대)-B2(승),하행 4-1
376,3,도곡,E/S,7,1807-848,B2(승)-B4(대),하행 7-4
377,3,도곡,E/S,8,1807-849,B4(대)-B2(승),하행 7-4
378,3,대치,E/S,1,1807-887,AD계단-B3(승),하행 10-4
379,3,대치,E/S,2,1807-854,B3(승)-AD계단,상행 1-1
380,3,대치,E/S,3,1807-855,BC계단-B3(승),상행 10-4
381,3,대치,E/S,4,1807-888,B3(승)-B2(대),하행 1-1
382,3,대치,E/S,5,1810-043,지상-B1(대),4번출구 하행
383,3,대치,E/S,6,1810-044,B1(대)-지상,4번출구 상행
384,3,학여울,E/S,1,1809-355,B3(대)-B2(대),B3(대) 하행
385,3,학여울,E/S,2,1809-354,B2(대)-B3(대),B3(대) 상행
386,3,대청,E/S,1,1807-886,지상-B1(대),6번출구 하행
387,3,대청,E/S,2,1807-885,B1(대)-지상,6번출구 상행
388,3,대청,E/S,3,1811-189,지상-B1(대),3번출구 하행
389,3,대청,E/S,4,1811-190,B1(대)-지상,3번출구 상행
390,3,일원,E/S,1,1811-327,지상-B1(대),1번출구
391,3,일원,E/S,2,1811-328,B1(대)-지상,1번출구
392,3,일원,E/S,3,1811-301,B1(대)-지상,2번출구
393,3,일원,E/S,4,1811-302,B1(대)-지상,3번출구
394,3,일원,E/S,5,1811-319,,6번출구
395,3,일원,E/S,6,1811-320,,6번출구
396,3,수서,E/S,1,1802-119,지상-B1(대),1번출구 하행
397,3,수서,E/S,2,1802-120,B1(대)-지상,1번출구 상행
398,3,수서,E/S,3,1802-055,지상-B1(대),2번출구 하행
399,3,수서,E/S,4,1802-056,B1(대)-지상,2번출구 상행
400,3,수서,E/S,5,1802-117,지상-B1(대),6번출구 하행
401,3,수서,E/S,6,1802-118,B1(대)-지상,6번출구 상행
402,3,수서,E/S,7,1812-113,,
403,3,수서,E/S,8,1812-114,,
404,3,수서,E/S,9,1812-115,,
405,3,수서,E/S,10,1812-116,,
406,3,수서,E/S,11,1812-970,지상-B1(대),5번출구
407,3,수서,E/S,12,1812-969,B1(대)-지상,6번출구
408,3,가락시장,E/S,1,1809-395,B2(대)-B4(승),상행 4-4
409,3,가락시장,E/S,2,1809-396,B4(승)-B2(대),상행 4-4
410,3,가락시장,E/S,3,1809-397,B2(대)-B4(승),상행 6-3
411,3,가락시장,E/S,4,1809-398,B4(승)-B2(대),상행 6-3
412,3,가락시장,E/S,5,1809-399,B3(대)-B4(승),상행 8-3
413,3,가락시장,E/S,6,1809-400,B4(승)-B3(대),상행 8-3
414,3,가락시장,E/S,7,1808-601,B4(승)-B3(대),상행 9-4
415,3,가락시장,E/S,8,1808-602,B3(대)-B4(승),하행 2-1
416,3,가락시장,E/S,9,1808-603,B3(대)-B4(승),하행 3-2
417,3,가락시장,E/S,10,1808-604,B4(승)-B3(대),하행 3-2
418,3,가락시장,E/S,11,1808-605,B2(대)-B4(승),하행 5-2
419,3,가락시장,E/S,12,1808-606,B4(승)-B2(대),하행 5-2
420,3,가락시장,E/S,13,1808-607,B2(대)-B4(승),하행 7-1
421,3,가락시장,E/S,14,1808-608,B4(승)-B2(대),하행 7-1
422,3,가락시장,E/S,15,1808-609,B1(대)-B2(대),B2(대) 하행
423,3,가락시장,E/S,16,1808-610,B2(대)-B1(대),B2(대) 상행
424,3,가락시장,E/S,17,1808-611,B1(대)-B2(대),B2(대) 하행
425,3,가락시장,E/S,18,1808-612,B2(대)-B1(대),B2(대) 상행
426,3,가락시장,E/S,19,1808-613,지상-B1(대),7번출구 하행
427,3,가락시장,E/S,20,1808-614,B1(대)-지상,7번출구 상행
428,3,가락시장,E/S,21,1808-616,지상-B2(대),8번출구 하행
429,3,가락시장,E/S,22,1808-615,B2(대)-지상,8번출구 상행
430,3,경찰병원,E/S,1,1809-375,B1(대)-B2(승),상행 2-1
431,3,경찰병원,E/S,2,1809-376,B2(승)-B1(대),상행 2-1
432,3,경찰병원,E/S,3,1809-377,B1(대)-B2(승),상행 6-2
433,3,경찰병원,E/S,4,1809-378,B2(승)-B1(대),상행 6-2
434,3,경찰병원,E/S,5,1809-379,B1(대)-B2(승),상행 7-4
435,3,경찰병원,E/S,6,1809-380,B2(승)-B1(대),상행 7-4
436,3,경찰병원,E/S,7,1809-381,B1(대)-B2(승),하행 4-1
437,3,경찰병원,E/S,8,1809-382,B2(승)-B1(대),하행 4-1
438,3,경찰병원,E/S,9,1809-383,B1(대)-B2(승),하행 5-3
439,3,경찰병원,E/S,10,1809-384,B2(승)-B1(대),하행 5-3
440,3,경찰병원,E/S,11,1809-385,B1(대)-B2(승),하행 9-4
441,3,경찰병원,E/S,12,1809-386,B2(승)-B1(대),하행 9-4
442,3,경찰병원,E/S,13,1809-387,지상-B1(대),1번출구 하행
443,3,경찰병원,E/S,14,1809-388,B1(대)-지상,1번출구 상행
444,3,경찰병원,E/S,15,1809-389,지상-B1(대),2번출구 하행
445,3,경찰병원,E/S,16,1809-390,B1(대)-지상,2번출구 상행
446,3,경찰병원,E/S,17,1809-391,셔터(4-1)-B1(대),대합실 하행
447,3,경찰병원,E/S,18,1809-392,B1(대)-셔터(4-1),대합실 상행
448,3,경찰병원,E/S,19,1809-393,지상-셔터(3-1),3번출구 하행
449,3,경찰병원,E/S,20,1809-394,셔터(3-1)-지상,3번출구 상행
450,3,오금,E/S,1,1809-360,B2(대)-B3(승),상행 2-2
451,3,오금,E/S,2,1809-361,B3(승)-B2(대),상행 2-2
452,3,오금,E/S,3,1809-362,B1(대)-B3(승),상행 4-2
453,3,오금,E/S,4,1809-363,B3(승)-B1(대),상행 4-2
454,3,오금,E/S,5,1809-364,B3(승)-B2(대),상행 7-1
455,3,오금,E/S,6,1809-365,B3(승)-B2(대),하행 4-4
456,3,오금,E/S,7,1809-366,B1(대)-B3(승),하행 7-3
457,3,오금,E/S,8,1809-367,B3(승)-B1(대),하행 7-3
458,3,오금,E/S,9,1809-368,B2(대)-B3(승),하행 9-3
459,3,오금,E/S,10,1809-369,B3(승)-B2(대),하행 9-3
460,3,오금,E/S,11,1809-370,B1(대)-B2(대),환승 하행
461,3,오금,E/S,12,1809-371,B2(대)-B1(대),환승 상행
462,3,오금,E/S,13,1809-372,지상-셔터(1-1),1번출구 하행
463,3,오금,E/S,14,1809-373,셔터(1-1)-지상,1번출구 상행
464,3,오금,E/S,15,1809-374,B1(대)-셔터(2-1),2번출구 상행
465,4,상계,E/S,,1810-581,1(지상)-2(대),1번출구측 상행
466,4,상계,E/S,,1810-582,2(대)-1(지상),1번출구측 하행
467,4,노원,E/S,1,1806-720,2(대)-1(지상),1번출구 하행
468,4,노원,E/S,2,1803-067,1(지상)-2(대),1번출구 상행
469,4,창동,E/S,1,1806-832,2(대)-1(지상),1번출구 하행
470,4,창동,E/S,2,1806-842,1(지상)-2(대),1번출구 상행
471,4,창동,E/S,,1810-584,,
472,4,창동,E/S,,1810-585,,
473,4,창동,E/S,,1810-586,,
474,4,창동,E/S,,1810-587,,
475,4,쌍문,E/S,1,1803-299,1(지상)-B1(대),4번출구 하행
476,4,쌍문,E/S,2,1803-300,B1(대)-1(지상),4번출구 상행
477,4,쌍문,E/S,3,1810-171,1(지상)-B1(대),2번출구 하행
478,4,쌍문,E/S,4,1810-172,B1(대)-1(지상),2번출구 상행
479,4,수유,E/S,1,1809-186,1(지상)-B1(대),3번출구 하행
480,4,수유,E/S,2,1809-187,B1(대)-1(지상),3번출구 상행
481,4,수유,E/S,3,1809-188,1(지상)-B1(대),8번출구 하행
482,4,수유,E/S,4,1809-189,B1(대)-1(지상),8번출구 상행
483,4,미아,E/S,1,1806-719,1(지상)-B1(대),3번출구 하행
484,4,미아,E/S,2,1806-718,B1(대)-1(지상),3번출구 상행
485,4,미아,E/S,3,1806-894,1(지상)-B1(대),1번출구 하행
486,4,미아,E/S,4,1806-895,B1(대)-1(지상),1번출구 상행
487,4,미아,E/S,5,1803-201,1(지상)-B1(대),6번출구 하행
488,4,미아,E/S,6,1803-202,B1(대)-1(지상),6번출구 상행
489,4,미아사거리,E/S,1,1806-716,1(지상)-B1(대),3번출구 하행
490,4,미아사거리,E/S,2,1806-717,B1(대)-1(지상),3번출구 상행
491,4,길음,E/S,1,1806-831,B1(대)-1(지상),2번출구 상행
492,4,길음,E/S,2,1803-356,1(지상)-B1(대),3번출구 하행
493,4,길음,E/S,3,1803-355,B1(대)-1(지상),3번출구 상행
494,4,성신여대입구,E/S,1,1803-354,1(지상)-B1(대),1번출구 상행
495,4,성신여대입구,E/S,2,1803-353,B1(대)-1(지상),1번출구 하행
496,4,성신여대입구,E/S,3,1806-697,B1(대)-지상,4번출구 상행
497,4,성신여대입구,E/S,4,1810-583,지상-B1(대),4번출구 하행
498,4,한성대입구,E/S,1,1809-931,1(지상)-B1(대),5번출구 하행
499,4,한성대입구,E/S,2,1809-932,B1(대)-1(지상),5번출구 상행
500,4,혜화,E/S,1,1800-166,1(지상)-B1(대),1번출구 하행
501,4,혜화,E/S,2,1800-165,B1(대)-1(지상),1번출구 상행
502,4,혜화,E/S,3,1810-099,1(지상)-B1(대),3번출구 하행
503,4,혜화,E/S,4,1810-100,B1(대)-1(지상),3번출구 상행
504,4,동대문(4),E/S,1,1801-111,B2(대)-B4(승),사당방향 하행 7-4
505,4,동대문(4),E/S,2,1801-112,B4(승)-B2(대),노원방향 상행 4-1
506,4,동대문(4),E/S,3,1801-113,B2(대)-B4(승),사당방향 하행 3-3
507,4,동대문(4),E/S,4,1801-114,B2(대)-B4(승),노원방향 상행 8-2
508,4,동대문(4),E/S,5,1800-340,B1(대)-B2(대),4호선연결 하행
509,4,동대문(4),E/S,6,1800-341,B2(대)-B1(대),1호선연결 상행
510,4,동대문(4),E/S,7,1808-172,지상-B1(대),8번출구 하행
511,4,동대문(4),E/S,8,1808-173,B1(대)-지상,8번출구 상행
512,4,동대문(4),E/S,9,1810-701,지상-B1(대),9번출구 하행
513,4,동대문(4),E/S,10,1810-702,B1(대)-지상,9번출구 상행
514,4,동대문역사문화공원(4),E/S,1,1801-576,B1(대)-B3(승),하행 8-3
515,4,동대문역사문화공원(4),E/S,2,1801-577,B3(승)-B1(대),상행 3-1
516,4,동대문역사문화공원(4),E/S,3,1800-474,B2(대)-B3(승),하행 5-2
517,4,동대문역사문화공원(4),E/S,4,1800-475,B3(승)-B2(대),상행 6-3
518,4,동대문역사문화공원(4),E/S,5,1808-987,B2(대)-B3(승),하행 2-4
519,4,동대문역사문화공원(4),E/S,6,1808-988,B3(승)-B2(대),상행 9-1
520,4,충무로(4),E/S,1,1808-128,B2(대)-B3(승),상행 4-2
521,4,충무로(4),E/S,2,1808-129,B3(승)-B2(대),상행 4-2
522,4,충무로(4),E/S,3,1808-130,B2(대)-B3(승),상행 6-3
523,4,충무로(4),E/S,4,1808-131,B3(승)-B2(대),상행 6-3
524,4,충무로(4),E/S,5,1808-132,B2(대)-B3(승),하행 5-2
525,4,충무로(4),E/S,6,1808-133,B3(승)-B2(대),하행 5-2
526,4,충무로(4),E/S,7,1808-134,B2(대)-B3(승),하행 7-2
527,4,충무로(4),E/S,8,1808-135,B3(승)-B2(대),하행 7-2
528,4,충무로(4),E/S,9,1808-136,B1(대)-B2(대),X-10 기둥 우측
529,4,충무로(4),E/S,10,1808-137,B2(대)-B1(대),X-10 기둥 우측
530,4,충무로(4),E/S,11,1808-138,B1(대)-B2(대),X-27 기둥 좌측
531,4,충무로(4),E/S,12,1808-139,B2(대)-B1(대),X-27 기둥 좌측
532,4,충무로(4),E/S,13,1808-140,B1(대)-B2(대),X-27 기둥 우측
533,4,충무로(4),E/S,14,1808-141,B2(대)-B1(대),X-27 기둥 우측
534,4,충무로(4),E/S,15,1808-142,B1(대)-B2(대),X-10 기둥 좌측
535,4,충무로(4),E/S,16,1808-143,B2(대)-B1(대),X-10 기둥 좌측
536,4,충무로(4),E/S,17,1800-486,B4(3호선)-B2(대),3호선환승(휠체어) 좌측
537,4,충무로(4),E/S,18,1800-487,B4(3호선)-B2(대),3호선환승(휠체어) 좌측
538,4,충무로(4),E/S,19,1801-479,B2(대)-B4(3호선),3호선환승(휠체어) 우측
539,4,충무로(4),E/S,20,1801-409,B4(3호선)-B2(대),3호선환승(휠체어) 우측
540,4,충무로(4),E/S,21,1806-330,지상-B1(대),1번출구 하행
541,4,충무로(4),E/S,22,1806-329,B1(대)-지상,1번출구 상행
542,4,명동,E/S,1,1800-724,B2(대)-A계단(승),A계단 옆
543,4,명동,E/S,2,1801-053,A계단(승)-B2(대),A계단 옆
544,4,명동,E/S,3,1800-725,B2(대)-B계단(승),B계단 옆
545,4,명동,E/S,4,1801-054,B계단(승)-B2(대),B계단 옆
546,4,명동,E/S,5,1810-714,지상-B1(대),3번출구 하행
547,4,명동,E/S,6,1810-715,B1(대)-지상,3번출구 상행
548,4,회현,E/S,1,1801-681,B2(대)-A계단(승),A계단 옆
549,4,회현,E/S,2,1801-682,A계단(승)-B2(대),A계단 옆
550,4,회현,E/S,3,1801-683,B2(대)-B4(승),상행 6-4
551,4,회현,E/S,4,1801-684,B4(승)-B2(대),하행 4-4
552,4,회현,E/S,5,1801-685,B2(대)-B4(승),하행 1-4
553,4,회현,E/S,6,1801-686,B4(승)-B2(대),상행 9-4
554,4,서울(4),E/S,1,1801-085,1호선 연결통로,사당방향 하행 10-4
555,4,서울(4),E/S,2,1801-373,1호선 연결통로,당고개방향 상행 1-1
556,4,서울(4),E/S,3,1801-348,지상-B1(연결통로),9-1번출구(교통섬) 하행
557,4,서울(4),E/S,4,1801-316,B1(연결통로)-지상,9-1번출구(교통섬) 상행
558,4,삼각지,E/S,1,1801-578,지상-B1(대),2번출구 하행
559,4,삼각지,E/S,2,1801-579,B1(대)-지상,2번출구 상행
560,4,삼각지,E/S,3,1801-580,지상-B1(대),5번출구 하행
561,4,삼각지,E/S,4,1801-581,B1(대)-지상,5번출구 상행
562,4,신용산,E/S,1,1800-495,지상-B1(대),5번출구 하행
563,4,신용산,E/S,2,1800-496,B1(대)-지상,5번출구 상행
564,4,신용산,E/S,3,1810-471,B1(대)-지상,3번출구 상행
565,4,신용산,E/S,4,1810-472,지상-B1(대),4번출구 하행
566,4,신용산,E/S,5,1810-473,B1(대)-지상,4번출구 상행
567,4,신용산,E/S,6,1813-881,지상-B1(대),1번출구
568,4,신용산,E/S,7,1813-882,B1(대)-지상,1번출구
569,4,신용산,E/S,8,1813-883,지상-B1(대),1번출구
570,4,신용산,E/S,9,1813-884,B1(대)-지상,1번출구
571,4,이촌,E/S,1,1808-990,지상-B1(대),1번출구 하행
572,4,이촌,E/S,2,1808-989,B1(대)-지상,1번출구 상행
573,4,이촌,E/S,3,1801-719,지상-B1(대),2번출구 하행
574,4,이촌,E/S,4,1801-720,B1(대)-지상,2번출구 상행
575,4,총신대입구,E/S,1,1807-713,지상-B1(대),14번출구 하행
576,4,총신대입구,E/S,2,1807-714,B1(대)-지상,14번출구 상행
577,4,총신대입구,E/S,3,1810-310,지상-B1(대),1번출구 하행
578,4,총신대입구,E/S,4,1810-309,B1(대)-지상,1번출구 상행
579,4,사당(4),E/S,1,1804-715,B3(승)-B2(승),하행 1-1
580,4,사당(4),E/S,2,1808-282,지상-B1(대),4번출구 하행
581,4,사당(4),E/S,3,1808-281,B1(대)-지상,4번출구 상행
582,4,사당(4),E/S,4,1804-714,지상-B1(대),9번출구 하행
583,4,사당(4),E/S,5,1804-713,B1(대)-지상,9번출구 상행
584,4,사당(4),E/S,6,1807-301,지상-B1(대),3번출구 하행
585,4,사당(4),E/S,7,1808-283,B1(대)-지상,3번출구 상행
586,4,남태령,E/S,1,1802-114,B2(대)-B3(승),하행 3-2
587,4,남태령,E/S,2,1802-113,B3(승)-B2(대),상행 8-3
588,5,김포공항,E/S,1,1808-085,B2-B3,내부
589,5,김포공항,E/S,2,1808-086,B2-B3,내부
590,5,김포공항,E/S,3,1808-087,B2-B3,내부
591,5,김포공항,E/S,4,1808-088,B2-B3,내부
592,5,김포공항,E/S,5,1808-089,B2-B3,내부
593,5,김포공항,E/S,6,1808-090,B2-B3,내부
594,5,김포공항,E/S,7,1808-091,B2-B3,내부
595,5,김포공항,E/S,8,1808-092,B2-B3,내부
596,5,김포공항,E/S,9,1808-428,F1-B1,외부
597,5,김포공항,E/S,10,1808-427,F1-B1,외부
598,5,송정,E/S,1,1808-093,B1-B2,내부
599,5,송정,E/S,2,1808-094,B1-B2,내부
600,5,송정,E/S,3,1808-095,F1-B1,외부
601,5,송정,E/S,4,1808-096,F1-B1,외부
602,5,마곡,E/S,1,1807-781,F1-B1,외부
603,5,마곡,E/S,2,1807-782,F1-B1,외부
604,5,마곡,E/S,3,1807-783,F1-B1,외부
605,5,마곡,E/S,4,1807-784,F1-B1,외부
606,5,마곡,E/S,5,1807-785,F1-B1,외부
607,5,마곡,E/S,6,1807-786,F1-B1,외부
608,5,마곡,E/S,7,1814-757,F1-B1,외부
609,5,마곡,E/S,8,1814-758,F1-B1,외부
610,5,마곡,E/S,9,1814-759,F1-B1,외부
611,5,마곡,E/S,10,1814-760,F1-B1,외부
612,5,마곡,E/S,11,1814-761,F1-B1,외부
613,5,마곡,E/S,12,1814-762,F1-B1,외부
614,5,우장산,E/S,1,1808-083,F1-B1,외부
615,5,우장산,E/S,2,1808-084,F1-B1,외부
616,5,우장산,E/S,3,1807-191,F1-B1,외부
617,5,우장산,E/S,4,1807-192,F1-B1,외부
618,5,화곡,E/S,1,1810-191,BM1-B1,내부
619,5,화곡,E/S,2,1810-192,BM1-B1,내부
620,5,화곡,E/S,3,1810-193,F1-B1,외부
621,5,화곡,E/S,4,1810-194,F1-B1,외부
622,5,까치산,E/S,1,1807-670,B1-B5,내부
623,5,까치산,E/S,2,1807-671,B1-B5,내부
624,5,까치산,E/S,3,1808-073,B1-B5,내부
625,5,까치산,E/S,4,1808-074,B1-B5,내부
626,5,까치산,E/S,5,1807-711,B1-B5,내부
627,5,까치산,E/S,6,1807-712,B1-B5,내부
628,5,까치산,E/S,7,1808-077,B1-B5,내부
629,5,까치산,E/S,8,1808-078,B1-B5,내부
630,5,까치산,E/S,9,1808-079,F1-B1,외부
631,5,까치산,E/S,10,1808-080,F1-B1,외부
632,5,까치산,E/S,11,1804-466,F1-B1,외부
633,5,까치산,E/S,12,1804-467,F1-B1,외부
634,5,신정,E/S,1,1811-085,B2-B3,내부
635,5,신정,E/S,2,1811-086,B2-B3,내부
636,5,신정,E/S,3,1811-087,B2-B3,내부
637,5,신정,E/S,4,1811-088,B2-B3,내부
638,5,신정,E/S,5,1808-065,B2-B1,내부
639,5,신정,E/S,6,1808-066,B2-B1,내부
640,5,신정,E/S,7,1808-069,BM1-B1,내부
641,5,신정,E/S,8,1808-070,BM1-B1,내부
642,5,신정,E/S,9,1808-067,F1-BM1,외부
643,5,신정,E/S,10,1808-068,F1-BM1,외부
644,5,목동,E/S,1,1804-711,F1-B1,외부
645,5,목동,E/S,2,1804-712,F1-B1,외부
646,5,목동,E/S,3,,,
647,5,목동,E/S,4,,,
648,5,오목교,E/S,1,1808-058,BM1-B1,내부
649,5,오목교,E/S,2,1808-059,BM1-B1,내부
650,5,오목교,E/S,3,1808-060,BM1-B1,내부
651,5,오목교,E/S,4,1804-416,B1-B2,내부
652,5,오목교,E/S,5,1804-417,B1-B2,내부
653,5,오목교,E/S,6,1804-418,BM1-B1,내부
654,5,오목교,E/S,7,1809-956,B2-B3,내부
655,5,오목교,E/S,8,1809-957,B2-B3,내부
656,5,오목교,E/S,9,1809-958,B2-B3,내부
657,5,오목교,E/S,10,1809-959,B2-B3,내부
658,5,오목교,E/S,,,,외부
659,5,오목교,E/S,,,,외부
660,5,양평,E/S,1,1808-097,B1-B3,내부
661,5,양평,E/S,2,1808-098,B1-B3,내부
662,5,양평,E/S,3,1808-099,B1-B3,내부
663,5,양평,E/S,4,1808-100,B1-B3,내부
664,5,양평,E/S,5,1804-419,F1-BM1,외부
665,5,양평,E/S,6,1804-420,F1-BM1,외부
666,5,양평,E/S,7,1812-613,B3-B4,내부
667,5,양평,E/S,8,1812-614,B3-B4,내부
668,5,영등포구청,E/S,1,1808-371,B1-B3,내부
669,5,영등포구청,E/S,2,1808-372,B1-B3,내부
670,5,영등포구청,E/S,3,1808-373,B1-B3,내부
671,5,영등포구청,E/S,4,1808-374,B1-B3,내부
672,5,영등포구청,E/S,5,1804-456,B1-B4,내부
673,5,영등포구청,E/S,6,1804-457,B1-B4,내부
674,5,영등포구청,E/S,7,1804-458,B1-B4,내부
675,5,영등포구청,E/S,8,1808-284,B4-B5,내부
676,5,영등포구청,E/S,9,1808-285,B4-B5,내부
677,5,영등포구청,E/S,10,1808-375,B4-B5,내부
678,5,영등포구청,E/S,11,1808-376,F1-B1,외부
679,5,영등포구청,E/S,12,1808-377,F1-B1,외부
680,5,영등포구청,E/S,13,1812-609,B3-B4,내부
681,5,영등포구청,E/S,14,1812-610,B3-B4,내부
682,5,영등포시장,E/S,1,1804-459,B3-B5,내부
683,5,영등포시장,E/S,2,1804-460,B3-B5,내부
684,5,영등포시장,E/S,3,1809-955,B1-B2,내부
685,5,영등포시장,E/S,4,1809-954,B1-B2,내부
686,5,영등포시장,E/S,5,1809-960,B2-B3,내부
687,5,영등포시장,E/S,6,1809-961,B2-B3,내부
688,5,영등포시장,E/S,7,1814-607,F1-B1,외부
689,5,영등포시장,E/S,8,1814-608,F1-B1,외부
690,5,신길,E/S,1,1804-421,F1-B3,외부
691,5,신길,E/S,2,1804-422,F1-B3,외부
692,5,신길,E/S,3,1804-423,B1(환승)-B3,내부
693,5,신길,E/S,4,1804-424,B1(환승)-B3,내부
694,5,신길,E/S,5,1804-425,B1(환승)-B3,내부
